Start,End,beta_1,beta_2,alpha,gamma,lamda,Date
2020-03-01,2020-03-09,0.6904042862579669,0.1640212196528182,0.0,0.0,0.09821042266116625,2020-03-01
2020-03-01,2020-03-09,0.6904042862579669,0.1640212196528182,0.0,0.0,0.09821042266116625,2020-03-02
2020-03-01,2020-03-09,0.6904042862579669,0.1640212196528182,0.0,0.0,0.09821042266116625,2020-03-03
2020-03-01,2020-03-09,0.6904042862579669,0.1640212196528182,0.0,0.0,0.09821042266116625,2020-03-04
2020-03-01,2020-03-09,0.6904042862579669,0.1640212196528182,0.0,0.0,0.09821042266116625,2020-03-05
2020-03-01,2020-03-09,0.6904042862579669,0.1640212196528182,0.0,0.0,0.09821042266116625,2020-03-06
2020-03-01,2020-03-09,0.6904042862579669,0.1640212196528182,0.0,0.0,0.09821042266116625,2020-03-07
2020-03-01,2020-03-09,0.6904042862579669,0.1640212196528182,0.0,0.0,0.09821042266116625,2020-03-08
2020-03-01,2020-03-09,0.6904042862579669,0.1640212196528182,0.0,0.0,0.09821042266116625,2020-03-09
2020-03-10,2020-03-17,0.8470402774400451,0.1342748597765839,0.0,0.043376018067943015,0.07458010009411231,2020-03-10
2020-03-10,2020-03-17,0.8470402774400451,0.1342748597765839,0.0,0.043376018067943015,0.07458010009411231,2020-03-11
2020-03-10,2020-03-17,0.8470402774400451,0.1342748597765839,0.0,0.043376018067943015,0.07458010009411231,2020-03-12
2020-03-10,2020-03-17,0.8470402774400451,0.1342748597765839,0.0,0.043376018067943015,0.07458010009411231,2020-03-13
2020-03-10,2020-03-17,0.8470402774400451,0.1342748597765839,0.0,0.043376018067943015,0.07458010009411231,2020-03-14
2020-03-10,2020-03-17,0.8470402774400451,0.1342748597765839,0.0,0.043376018067943015,0.07458010009411231,2020-03-15
2020-03-10,2020-03-17,0.8470402774400451,0.1342748597765839,0.0,0.043376018067943015,0.07458010009411231,2020-03-16
2020-03-10,2020-03-17,0.8470402774400451,0.1342748597765839,0.0,0.043376018067943015,0.07458010009411231,2020-03-17
2020-03-18,2020-03-29,0.8319332763211381,0.1356931709506256,0.0,0.03106271589656061,0.08188926705476816,2020-03-18
2020-03-18,2020-03-29,0.8319332763211381,0.1356931709506256,0.0,0.03106271589656061,0.08188926705476816,2020-03-19
2020-03-18,2020-03-29,0.8319332763211381,0.1356931709506256,0.0,0.03106271589656061,0.08188926705476816,2020-03-20
2020-03-18,2020-03-29,0.8319332763211381,0.1356931709506256,0.0,0.03106271589656061,0.08188926705476816,2020-03-21
2020-03-18,2020-03-29,0.8319332763211381,0.1356931709506256,0.0,0.03106271589656061,0.08188926705476816,2020-03-22
2020-03-18,2020-03-29,0.8319332763211381,0.1356931709506256,0.0,0.03106271589656061,0.08188926705476816,2020-03-23
2020-03-18,2020-03-29,0.8319332763211381,0.1356931709506256,0.0,0.03106271589656061,0.08188926705476816,2020-03-24
2020-03-18,2020-03-29,0.8319332763211381,0.1356931709506256,0.0,0.03106271589656061,0.08188926705476816,2020-03-25
2020-03-18,2020-03-29,0.8319332763211381,0.1356931709506256,0.0,0.03106271589656061,0.08188926705476816,2020-03-26
2020-03-18,2020-03-29,0.8319332763211381,0.1356931709506256,0.0,0.03106271589656061,0.08188926705476816,2020-03-27
2020-03-18,2020-03-29,0.8319332763211381,0.1356931709506256,0.0,0.03106271589656061,0.08188926705476816,2020-03-28
2020-03-18,2020-03-29,0.8319332763211381,0.1356931709506256,0.0,0.03106271589656061,0.08188926705476816,2020-03-29
2020-03-30,2020-04-12,0.6932609890534176,0.2680290116469051,2.8657052427680663e-05,0.06093460786786166,0.271371112775761,2020-03-30
2020-03-30,2020-04-12,0.6932609890534176,0.2680290116469051,2.8657052427680663e-05,0.06093460786786166,0.271371112775761,2020-03-31
2020-03-30,2020-04-12,0.6932609890534176,0.2680290116469051,2.8657052427680663e-05,0.06093460786786166,0.271371112775761,2020-04-01
2020-03-30,2020-04-12,0.6932609890534176,0.2680290116469051,2.8657052427680663e-05,0.06093460786786166,0.271371112775761,2020-04-02
2020-03-30,2020-04-12,0.6932609890534176,0.2680290116469051,2.8657052427680663e-05,0.06093460786786166,0.271371112775761,2020-04-03
2020-03-30,2020-04-12,0.6932609890534176,0.2680290116469051,2.8657052427680663e-05,0.06093460786786166,0.271371112775761,2020-04-04
2020-03-30,2020-04-12,0.6932609890534176,0.2680290116469051,2.8657052427680663e-05,0.06093460786786166,0.271371112775761,2020-04-05
2020-03-30,2020-04-12,0.6932609890534176,0.2680290116469051,2.8657052427680663e-05,0.06093460786786166,0.271371112775761,2020-04-06
2020-03-30,2020-04-12,0.6932609890534176,0.2680290116469051,2.8657052427680663e-05,0.06093460786786166,0.271371112775761,2020-04-07
2020-03-30,2020-04-12,0.6932609890534176,0.2680290116469051,2.8657052427680663e-05,0.06093460786786166,0.271371112775761,2020-04-08
2020-03-30,2020-04-12,0.6932609890534176,0.2680290116469051,2.8657052427680663e-05,0.06093460786786166,0.271371112775761,2020-04-09
2020-03-30,2020-04-12,0.6932609890534176,0.2680290116469051,2.8657052427680663e-05,0.06093460786786166,0.271371112775761,2020-04-10
2020-03-30,2020-04-12,0.6932609890534176,0.2680290116469051,2.8657052427680663e-05,0.06093460786786166,0.271371112775761,2020-04-11
2020-03-30,2020-04-12,0.6932609890534176,0.2680290116469051,2.8657052427680663e-05,0.06093460786786166,0.271371112775761,2020-04-12
2020-04-13,2020-04-20,0.10536205549334232,0.3132945316398251,0.00022799556506542087,0.12782908061756107,0.0747339276186531,2020-04-13
2020-04-13,2020-04-20,0.10536205549334232,0.3132945316398251,0.00022799556506542087,0.12782908061756107,0.0747339276186531,2020-04-14
2020-04-13,2020-04-20,0.10536205549334232,0.3132945316398251,0.00022799556506542087,0.12782908061756107,0.0747339276186531,2020-04-15
2020-04-13,2020-04-20,0.10536205549334232,0.3132945316398251,0.00022799556506542087,0.12782908061756107,0.0747339276186531,2020-04-16
